map_LCIn0-9_LTW0-0_NR-W9,0:00:03.844957
map_LCIn0-9_LTW0-0_NR-H10,0:00:02.544221
map_LCIn0-9_LTW0-0_NR-W10,0:00:03.173935
map_LCIn0-9_LTW0-1_NR-1,0:00:03.745872
map_LCIn0-9_LTW0-1_NR-H1,0:00:10.234413
map_LCIn0-9_LTW0-1_NR-W1,0:00:20.710075
map_LCIn0-9_LTW0-1_NR-H2,0:00:05.360798
map_LCIn0-9_LTW0-1_NR-W2,0:00:10.246584
map_LCIn0-9_LTW0-1_NR-H3,0:00:04.287133
map_LCIn0-9_LTW0-1_NR-W3,0:00:07.750423
map_LCIn0-9_LTW0-1_NR-H4,0:00:04.539214
map_LCIn0-9_LTW0-1_NR-W4,0:00:05.273140
map_LCIn0-9_LTW0-1_NR-H5,0:00:03.419456
map_LCIn0-9_LTW0-1_NR-W5,0:00:06.349864
map_LCIn0-9_LTW0-1_NR-H6,0:00:03.662183
map_LCIn0-9_LTW0-1_NR-W6,0:00:04.244363
map_LCIn0-9_LTW0-1_NR-H7,0:00:03.634076
